Date,NumberCRC,TokenFileName
24/11/17,4,Tokens.xml.bak
21/10/18,5,Tokens.xml.Genova
12/11/18,5,Tokens.xml.NA
29/10/20,5,Tokens Good Nov
07/04/21,7,Tokens xml COMPLETE 2021
15/11/21,8,Good Nov 2021
25/08/22,10,Tokens xml August 2022
15/08/23,13,Tokens xml May 2023
06/12/23,15,Tokens after xml
20/11/24,21,BAK NOV 2024
05/12/24,22,Tokens xml Dec 2024
24/02/25,23,Tokens xml 24 02 25
18/07/25,24,Tokens xml first plot
26/01/26,27,StartRegisteringSchools
27/01/26,28,AddingNewSchool
30/01/26,29,AddingNewSchool
10/02/26,30,AddingNewSchoolwithCRC
17/02/26,31,AddingLiceoGalileoGalilei
04/03/26,32,AddingNewSchool
11/03/26,34,EvenMoreSchoolsAdded
26/03/26,37,AddingMoreTelescopesinMoreSchools